wetland_id,mean_waterLevel,cv_waterLevel,annual_inundation_duration,n_events,mean_event_inundation_days,cv_event_inundation_days
HS1-1,-2.479661449106933,-1.6176842508180018,29,10,2.9,0.7871675249776522
HS2-1,-9.291859136222387,-2.5454802466932267,0,0,NA,NA
HS3-1,-2.4416109696325625,-2.3530474432470094,8,5,1.6,0.5590169943749473
IT1-6,-17.06593198356254,-2.993965306823059,0,0,NA,NA
TBS26,-16.77726725501324,-10.437323954542535,0,0,NA,NA
IT3-1,-1.7458403122717312,-0.19251149439985055,213,16,13.3125,1.7878815354204354
FP1-2,125.86884215812398,2.6689367981021044,453,1,453,NA
FP2-1,-4.485425895852255,-0.11876052378179358,203,6,33.833333333333336,1.4345686922779892
FP3-1,-61.54529937817035,-1.376248020672512,38,7,5.428571428571429,0.5713213855415362
