wetland_id,mean_waterLevel,cv_waterLevel,annual_inundation_duration,n_events,mean_event_inundation_days,cv_event_inundation_days
HS1-1,-0.2884904463331682,-0.27724718162326506,120,25,4.8,0.9678722128309968
HS2-1,-10.07168364223073,-2.574284846068045,0,0,NA,NA
HS3-1,-2.3432403778583835,-2.4842026319204233,5,4,1.25,0.4
IT1-6,-16.185597080078978,-3.305455779336868,0,0,NA,NA
TBS26,4.78061814687883,3.009192052046825,336,1,336,NA
IT3-1,-2.5146070427772003,-0.24190123407737651,189,22,8.181818181818182,1.4008374920069586
FP1-2,4.720504020907656,0.10317307733131743,170,2,85,0.5324098117169299
FP2-1,-10.485837590628194,-0.29901959084255053,121,4,30.25,0.6909934439128508
FP3-1,-79.58897294729498,-2.140861421846545,21,2,10.5,0.6060915267313265
